# CCONJ words ending in -que (excluding bare 'que')
# Format: word	count


Plenaque	2
causaque	2
fraterque	2
supplicioque	2
terribilesque	2
munditieque	2
Rachelque	2
associantque	2
terreque	2
deficiensque	2
deiciensque	2
sapiensque	2
Altarisque	2
proficiensque	2
doctorque	2
illosque	2
fauisque	2
Ecclesiamque	2
scismaticosque	2
Christumque	2
maculaque	2
nequitiamque	2
Bethelque	2
suoque	2
Sathananque	2
Achitophelque	2
Baalque	2
plebsque	2
terraque	2
Occiditque	2
Occiseque	2
binique	2
baculusque	2
dantque	2
letitieque	2
Tobisque	2
glorificentque	2
Ostenditque	2
discidiumque	2
associetque	2
dentesque	2
numinibusque	2
horaque	2
dimidiusque	2
hebdomadesque	2
Ermidiesque	2
arridetque	2
uentoque	2
Deuotaque	2
Cessauitque	2
concilientque	2
Victaque	2
Achiorque	2
Ceruicique	2
truncumque	2
centumque	2
sidereaque	2
perspicueque	2
Luxque	2
Totaque	2
necnonque	2
mediosque	2
Bethsuramque	2
Simonque	2
Antipaterque	2
Soliusque	2
tactusque	2
proselitusque	2
atroxque	2
excidiumque	2
Donaque	2
impauidusque	2
summaque	2
scripsitque	2
Accenduntque	2
iussitque	2
tenditque	2
horumque	2
peciitque	2
interiusque	2
Menteque	2
religioque	2
rectumque	2
Gregorioque	2
iusticiaeque	2
vestrumque	2
pignoribusque	2
improperatque	2
saeviciaeque	2
Annibalemque	2
longoque	2
iustitiaque	2
praetioque	2
levaque	2
pretiosaque	2
fecitque	2
miliciaeque	2
Mensuraque	2
bellique	2
passimque	2
prosequiturque	2
morteque	2
Hincque	2
Aque	2
multique	2
plenusque	2
pluraque	2
Idque	2
feruntque	2
breuisque	2
natoque	2
Pictavisque	2
dicitque	2
visque	2
urbsque	2
Romuleusque	2
fratrisque	2
obsequioque	2
animusque	2
sororque	2
binisque	2
consulibusque	2
propriaque	2
rhetoricisque	2
Italicusque	2
illucque	2
cibique	2
oculosque	2
deoque	2
subitoque	2
obsequiumque	2
Timporaque	2
uixque	2
terque	2
uiasque	2
Felicemque	2
Omniaque	2
homoque	2
Davidque	2
uxoresque	2
Abiazarque	2
successitque	2
Deiphobusque	1
formosaque	1
rectaque	1
dicuntque	1
trigintaque	1
servitiique	1
nostroque	1
tremebundaque	1
petuntque	1
raptimque	1
Muneribusque	1
Adiiciuntque	1
stridetque	1
cupimusque	1
Argolicusque	1
Velaque	1
sparsique	1
recitatque	1
tumulumque	1
minimeque	1
mediique	1
primusque	1
horrendaque	1
Aeacidemque	1
accipiterque	1
bonitasque	1
paterque	1
mammaque	1
memorandaque	1
Hypolitenque	1
laudandaque	1
Troiaque	1
videasque	1
sociantque	1
fonsque	1
nobiliterque	1
Argolicisque	1
frausque	1
strataque	1
quaeritque	1
vectique	1
Phrygesque	1
gladiisque	1
operaque	1
vestraque	1
redeatque	1
gremioque	1
dedimusque	1
sociisque	1
Anchisiadesque	1
praesidiique	1
vestrosque	1
Horrendaque	1
nocteque	1
retulitque	1
illacque	1
scissaque	1
dicetque	1
doctrinaque	1
Parteque	1
sexque	1
Andromachenque	1
Saevaque	1
resecandaque	1
terrisque	1
subposuitque	1
scitque	1
horrorque	1
limosaque	1
Defectusque	1
itidemque	1
historiasque	1
Auditoque	1
Aduehiturque	1
Insequiturque	1
celeresque	1
altumque	1
insequiturque	1
partique	1
Sceptraque	1
clademque	1
Septaque	1
inconsultique	1
assiduamque	1
inque	1
appropiansque	1
Confinesque	1
noctemque	1
Vrceolusque	1
colorque	1
decrepitusque	1
octoque	1
lucidiorque	1
formamque	1
ponderibusque	1
Humanusque	1
altrixque	1
appropiatque	1
triademque	1
Brumalesque	1
pigrumque	1
Gestabatque	1
Signabatque	1
Ingeniique	1
simulque	1
pinguisque	1
Effigiemque	1
duraque	1
Adque	1
paruaque	1
litesque	1
Causidicusque	1
ciuisque	1
sepeque	1
Insidiasque	1
tuncque	1
Fronteque	1
Argentumque	1
Tuncque	1
macerque	1
pigerque	1
debilitatque	1
uerbisque	1
dicatque	1
angelicosque	1
carneque	1
progeniesque	1
Inueniensque	1
nolique	1
citoque	1
deditque	1
artusque	1
doletque	1
nichilumque	1
moriturque	1
perpetuisque	1
agilesque	1
sacrosque	1
Flandrensisque	1
Hannonieque	1
Asscribique	1
Acceleroque	1
invenioque	1
patruusque	1
Dimisitque	1
velutque	1
incipiuntque	1
satisque	1
Cunctorumque	1
Hactonisque	1
cupiuntque	1
nemoque	1
anteque	1
satique	1
difficilisque	1
lustraque	1
preteritisque	1
metuque	1
iniciuntque	1
abstineatque	1
odiumque	1
faciuntque	1
indeque	1
measque	1
interimoque	1
corrosaque	1
stoque	1
Nique	1
Perpetuoque	1
propiciumque	1
tenebrisque	1
Reginamque	1
Letaturque	1
porteque	1
nuncque	1
taciteque	1
ducuntque	1
satosque	1
dimidiique	1
leviterque	1
cartamque	1
sumptamque	1
Horribilique	1
Primatesque	1
emendareque	1
taleque	1
monteque	1
Ecclesieque	1
Turbaque	1
caroque	1
subpositoque	1
significansque	1
demonicosque	1
flendoque	1
Viuaque	1
uiteque	1
Reptilibusque	1
deique	1
opilioque	1
huiusque	1
ponuntque	1
prauaque	1
gentemque	1
Christicoleque	1
lirasque	1
integriorque	1
sceptraque	1
Affectusque	1
Exquiritque	1
tristique	1
alienaque	1
Ascendensque	1
prompteque	1
consocietque	1
Rethoricosque	1
pectusque	1
meruitque	1
Conscriptosque	1
inopinaque	1
captivaturque	1
Obiectoque	1
Hostilesque	1
exagitantque	1
obitumque	1
blandamque	1
Tumque	1
Defecitque	1
Argutique	1
numquamque	1
Spondebantque	1
potuitque	1
Perpetuatque	1
propiusque	1
turbeque	1
Utiliusque	1
dispositorque	1
Servaturque	1
Romuleaque	1
libertatemque	1
immotaque	1
seriesque	1
piosque	1
certoque	1
precipitemque	1
crebrique	1
captosque	1
Defenditque	1
complacitamque	1
principiique	1
alteque	1
urbique	1
oratoremque	1
Personeque	1
meisque	1
Penaque	1
Consuleretque	1
insolitusque	1
Merebantque	1
Impaciensque	1
Mammutiusque	1
Exstabatque	1
debilitasque	1
Flentque	1
Sternebatque	1
ferreque	1
Florebitque	1
Esseque	1
carmenque	1
Extuleratque	1
astraque	1
Dominumque	1
Errorisque	1
lectoque	1
Inplebantque	1
tumuloque	1
Iunctaque	1
pluviasque	1
haustaque	1
Gadque	1
Salomonque	1
volucresque	1
Horebque	1
tuoque	1
geminisque	1
vultque	1
ponitque	1
casuque	1
iumentaque	1
vatemque	1
egrediensque	1
Summaque	1
Ammonitasque	1
Pluraque	1
Sculptilibusque	1
Stultaque	1
Fanaque	1
Solque	1
thuraque	1
Nabuchodonosorque	1
Insontemque	1
Saturnusque	1
evique	1
requiesque	1
cirotegeque	1
cinisque	1
eloquioque	1
statuitque	1
tulique	1
Osque	1
celebresque	1
Sarcinulasque	1
redoletque	1
marmorque	1
potiusque	1
temperieque	1
plenaque	1
valdeque	1
terrorque	1
totamque	1
Multimodoque	1
tactuque	1
Obscurusque	1
Deusque	1
retegitque	1
exprimiturque	1
sumusque	1
Mactaturque	1
nominibusque	1
vitulique	1
Carbonesque	1
mitisque	1
piusque	1
specieque	1
vituloque	1
intusque	1
mysteriumque	1
suaque	1
Maioresque	1
Exteriusque	1
mysteriisque	1
interventuque	1
Excoctaeque	1
Veridicosque	1
degeneratque	1
Hosteque	1
properatque	1
praecipitemque	1
prohibentque	1
mensuraque	1
Vndeque	1
Perpetuamque	1
seruitque	1
Mundanusque	1
poenaque	1
Cultoresque	1
Officioque	1
praecipitatque	1
Aequalemque	1
capitque	1
tempusque	1
aptusque	1
diuiduoque	1
ueraque	1
diuinaque	1
uigentque	1
Aequalesque	1
Attactuque	1
tenebraeque	1
Votiuaeque	1
uindexque	1
Vanaque	1
probatque	1
Praeuenietque	1
iubeasque	1
Seruatasque	1
bibulosque	1
Hospitiumque	1
Perpetuaque	1
carminibusque	1
Fureque	1
uetulique	1
ingenuusque	1
arbitriumque	1
perpetuatque	1
nequitiaeque	1
posteriorque	1
occipitisque	1
sentitque	1
natusque	1
perfidiaeque	1
patinisque	1
evacuatque	1
serieque	1
aestuque	1
gladiique	1
gaudetque	1
vobisque	1
tribuatque	1
Materiesque	1
iniustosque	1
vitiumque	1
depreciatque	1
ususque	1
prostibuloque	1
Coniuncteque	1
fractoque	1
collique	1
Uberiorque	1
equitisque	1
studiique	1
sontesque	1
consociatque	1
irradiatque	1
liquorque	1
meliorque	1
Fraterneque	1
sobolique	1
pollicitisque	1
materiesque	1
increpitatque	1
ingressusque	1
pluuntque	1
flantique	1
Letitieque	1
talemque	1
cunctisque	1
querulosque	1
gemitusque	1
Mercuriique	1
Eluidiique	1
fratrumque	1
superque	1
Uoxque	1
fexque	1
luesque	1
capudque	1
reamque	1
uenieque	1
uultusque	1
Extentaque	1
